trial,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,scale_pos_weight,mean_cv_pr_auc
0,750,3,0.012078958441106838,0.6103368692376527,0.619018071569398,8,4.142027969530834,46.42580749922949,0.5582427874894627
1,400,3,0.01797642003188991,0.6616543204652178,0.8046274560971849,6,3.581870943901958,20.594476785004275,0.5546592846479979
2,1000,7,0.06552830077860172,0.8920812298460336,0.7325048332820822,9,4.724317448164746,54.475978219939975,0.6037338143209705
3,950,6,0.016285559162544296,0.9046141227921102,0.8094837936517448,7,1.6639037734650204,37.98541668074266,0.5927450015785899
4,800,5,0.01131645726923933,0.9401750070454942,0.6036563849487186,10,3.811818006286984,27.886929219131858,0.5938729038668888
5,800,6,0.040792898720234845,0.8816953603225843,0.8677249969976932,4,0.6570792430840561,44.037600907188704,0.5882911443201937
6,300,5,0.011453895232579933,0.6325675259782976,0.8972888687063513,9,2.525692009415347,24.444427394522968,0.5570324960346495
7,1000,6,0.01783709106650769,0.7235255054032375,0.7123084951079778,2,4.8472228796903565,45.09228372424086,0.5889760905546737
8,500,4,0.011906123767555564,0.6647589235871966,0.7289300217838258,6,3.313036712098083,59.6195032357573,0.5554369978433508
9,300,5,0.023289593078634457,0.7648511141259069,0.8110502382877738,2,4.012911599387982,53.97253640581838,0.5690617714655991
10,900,6,0.0313832391215986,0.9027421635868043,0.6969926243070546,1,4.919026769784212,57.42750691416903,0.5790312294020037
11,950,8,0.06291952150351916,0.6485284646108197,0.6816950876441996,3,0.7209352962704135,51.89504192904303,0.6153909108333357
12,1000,4,0.026986417987560525,0.7858811834917347,0.7225066461847531,10,1.3573136481623864,41.41450394769925,0.5908693845927727
13,500,8,0.01493032291670893,0.6522788981888717,0.9829217834881869,1,3.4837783006522054,34.108301114409564,0.5846318024366728
14,550,6,0.014806767028766913,0.7523566714476544,0.9400948930134266,7,1.448625667177465,27.303062162723357,0.5952727328080415
15,350,7,0.011681445311058872,0.915998273353893,0.9789190357043502,8,4.836500922518848,39.49653695270209,0.5663005893028329
16,900,4,0.027887368940438136,0.6496987872714921,0.6215329006545476,8,0.9577213843929194,42.74726717671637,0.5880094296417606
17,950,4,0.013196481656920823,0.7090697091588474,0.972331658912126,6,3.50960275187365,26.313462575680568,0.5892394917020038
18,650,4,0.03380038740393674,0.9582043699920867,0.7614899490424423,7,2.0574201838132273,43.228188735797175,0.5865327178609417
19,850,7,0.14201815136793888,0.9225559138133493,0.9138408287487738,6,4.786902060038549,58.530171682198585,0.5910614071671622
