fold,train_size,val_size,val_pr_auc,fit_time_s
1,83659,83659,0.5425940827345644,5.940793514251709
2,83659,83659,0.5978727055319859,3.5477874279022217
3,83659,83659,0.5931671211710171,2.912461996078491
4,83659,83659,0.5467210882711294,3.088148593902588
5,83659,83664,0.5406371847004874,3.0883097648620605
