feature,perm_importance_mean,perm_importance_std
V266,0.0027724851885817746,0.0005223750597498554
D10,0.002738239228551398,0.00035885995915102195
V165,0.0025951978711804212,0.0002570713439250998
p_emaildomain_te_fraud_rate,0.0025927720777815244,0.0004219668180116633
V171,0.0025576807998297867,0.0001013225117419118
card4,0.0024336105262361073,0.00025597251783136013
V312,0.0023512927579840692,0.0006850270808876401
V296,0.0022800883362080306,0.0002580388437401918
V87,0.0021885799925379533,0.00031128217017567576
device_type,0.0021599581881192264,0.00044544734914957104
amount_zscore_vs_card1_history,0.002158420195634847,0.0004701766514330166
V91,0.0021364868904574673,0.0003836694708766118
M9,0.0020812198063010377,0.0002982018267237645
V38,0.0020587035258571975,0.0002483301006898673
V49,0.002027688522380844,0.0002149289220306922
V45,0.001965770313964743,0.0006194022096161652
V156,0.0018177920730853224,0.0005206377710115714
V136,0.0017268132924982082,0.0002713762452811026
V187,0.0017175812878091224,0.00014700222423915144
V313,0.0016655118284588434,0.0003846560259378503
V256,0.0016158554933448754,0.0003507674132940773
card6,0.0015963661552578557,0.00022442655952843786
V169,0.0015293673725673695,0.00011400658551662849
V265,0.0015195852408438348,0.0003523923301008759
V99,0.0015049130915712583,0.0003821364978178602
D14,0.0014249000587179927,0.00043166172895227133
V82,0.0013782734633236537,0.00021400847882011115
V6,0.001296690412504764,0.00017708474261247706
D12,0.0012477726699463676,0.0002708983567155123
D6,0.0012401417339299337,0.00014547317170891344
V219,0.0012152902024040514,0.0002159921837359446
V210,0.0012066402696081057,6.371258687266131e-05
V189,0.0011911512914881573,4.2631487041709655e-05
C5,0.001180892533034872,0.0002309242597486586
dist2,0.0011743418135440997,0.00015158128400858832
card3,0.001150254644842985,0.0003897637409704706
V320,0.0011211539795651926,9.924362344649431e-05
V2,0.0010421770671116381,0.0002288815223550569
V90,0.0010415197401207666,0.0003353473367499317
V133,0.001017294984959749,0.0006385555051124181
V78,0.001017002290500013,0.00021277716439400076
V308,0.0009902833919173126,0.0002659044524639953
V192,0.0009299366127285879,9.089931361943264e-05
V209,0.0009065415054326121,0.000161445436923368
r_emaildomain_freq,0.000904854770554453,0.00028267007710269045
V245,0.0008746642822587081,0.00013953538596620188
D5,0.0008713666450569258,0.00045505067435787133
V35,0.0008559516370825748,0.00016434483160850347
V263,0.0008416420895682397,0.0002760900422926652
V316,0.0008353007846302552,0.00017894948266771097
card5,0.0008346093514981056,0.00025358130442939067
V76,0.0008315420908914572,0.00012552919867376547
V207,0.0008144801890137554,0.00016938027083693237
V33,0.0007680790614338795,0.00013443975318755858
V85,0.0007477132799905695,8.791460772900815e-05
V280,0.0007475554245011451,0.00010825497477488961
V268,0.000747147581385299,4.625645988561411e-05
V12,0.0007402947801919857,0.0002492991336179011
V281,0.0007232332949897336,0.0001643802533727102
V36,0.000721004981801221,0.00026726725628286804
V191,0.0007080731743889345,7.140149779621361e-05
V294,0.0007064170369045164,4.662327209081211e-05
V202,0.0007051034889106967,6.364420027505265e-05
V217,0.0007010379066616501,0.00011153460583579663
V67,0.0006918577173551266,0.00012986645174245797
V200,0.0006882705103415931,0.00015591392192200384
V271,0.0006744807583076273,0.00011278473557528221
V227,0.0006677137491749696,6.868474247345995e-05
V264,0.000662728401647128,1.4501460372131481e-05
C3,0.0006613885031000688,0.00019131572468500494
seconds_since_card1_prev_txn,0.0006482624838705763,0.0005809463269606919
V290,0.0006428227726300473,9.646282917418016e-05
V44,0.0006137492682577128,0.00012932161899009085
V243,0.0006124268928988541,9.283943924962339e-05
V180,0.0006097842153365507,6.677527051432083e-05
V274,0.0006049569871585337,6.96211855563048e-05
V26,0.0005998092167129543,0.00020530033374865307
V314,0.0005618253589083078,0.00010068801395631842
V158,0.0005563673373506384,0.00012052650982636998
V48,0.0005460746426349638,0.0001790739384657485
V185,0.0004986149379871075,6.501078010012071e-05
V46,0.0004978738845898723,0.00014448898811901626
V58,0.0004745490928917295,7.257004813008528e-05
V64,0.0004568132795289004,0.0001596860754969866
V282,0.00043940736257559455,0.00013468777337377117
V127,0.00043556009033451915,0.00013725532108589697
V129,0.00043383824673521866,0.00013769201825603568
V315,0.00043171578273768494,0.00016690293532193792
V335,0.00042393883228982745,7.009979433918524e-05
V250,0.0004207917604032052,4.8131380305884004e-05
V194,0.00041638668921176734,6.40331815586349e-05
V54,0.00040703570212329286,0.00016399178405796975
V7,0.0003988610181558383,0.00016619470072892122
V83,0.00039859980599946663,0.0002670479629814224
V47,0.0003887353654928649,0.00023241427669157746
V139,0.0003781525705498501,8.972084457287041e-05
V94,0.00037098488944836694,8.567811991010611e-05
V160,0.00035811458901354733,3.465218434723884e-05
V164,0.00034073208174667524,2.5222635649804243e-05
V208,0.0003233554316084186,0.00010136244749162246
V162,0.0003192673803354973,5.515693178524774e-05
V43,0.0003064795996791991,0.00010241124582912936
V170,0.0003034123144078471,1.996333677305547e-05
V249,0.00028265339242727894,1.9649158106396716e-05
V204,0.00027635364774611924,2.3290697919195945e-05
M8,0.0002627573833249186,0.00010952546529531987
V11,0.00025887355850003904,0.0001731273896933094
V321,0.00024119139638502097,0.00010521035738660324
V37,0.00022072206740803013,9.48417602380179e-05
V150,0.00022062759671710453,3.024369628575662e-05
V166,0.00021706601135454973,6.609514038378151e-05
V272,0.00021692552617930128,4.6724025069101785e-05
V20,0.00021113598490944961,9.756309046674396e-05
V25,0.00020665103894813576,5.787722430782931e-05
V224,0.00020395502819684497,3.864838257517119e-05
V260,0.00020388640436802552,3.955487493211321e-05
V69,0.00020092041838812858,9.768820561443857e-05
V124,0.00019263165536195225,9.419946331422837e-05
V275,0.0001891821296042151,0.00010484879349653043
V63,0.00018733607613976577,8.287710960017487e-05
V334,0.00018671590607513,7.402018641917301e-05
V145,0.00018169688111887571,1.8661930178744616e-05
V261,0.00017759194823931956,6.863445424180772e-05
V147,0.00017638025902949606,0.00020214798236319092
V278,0.00017165967862080577,9.230902236958432e-05
V126,0.00016423250287880275,7.582631955751275e-05
V4,0.00016224395617635555,0.00020723485486505227
V143,0.0001508399936015037,2.98765749955273e-05
V5,0.00014402965756171726,6.220906839565982e-05
V121,0.00014043540422608024,0.00010581105570984145
V259,0.0001334840307690377,4.731302867416163e-05
D9,0.0001270119398687042,9.34748241789304e-05
V92,0.00012552669420803352,9.293604106433653e-05
V105,0.00012146593834228003,2.4688163915692446e-05
D7,0.00011763563032202162,0.00026772022549047936
V29,0.00011067748086324158,0.00017140631147608354
V197,0.00010847571788697996,1.1160775275031432e-05
V222,0.0001065231346316975,8.730788041576847e-05
