feature,gain_importance,gain_rank,perm_importance_mean,perm_importance_std,perm_rank,rank_gap
V282,0.0007655104,225,0.00043940736257559455,0.00013468777337377117,138,87
V90,0.000992755,179,0.0010415197401207666,0.0003353473367499317,92,87
V39,0.0003354915,292,-5.346384625659617e-05,1.4551900872623793e-05,377,85
V229,0.00015433498,304,2.2666783993252614e-05,2.70724423347826e-05,219,85
V310,0.0012623275,125,0.004396591056860999,0.00030639340933946555,40,85
D10,0.0011889857,139,0.002738239228551398,0.00035885995915102195,55,84
V246,0.0005207863,268,-2.628189454900731e-06,8.385283178108402e-06,351,83
V227,0.003165929,38,0.0006677137491749696,6.868474247345995e-05,121,83
card5,0.00094926445,186,0.0008346093514981056,0.00025358130442939067,104,82
V35,0.00096451706,183,0.0008559516370825748,0.00016434483160850347,101,82
V185,0.0024994782,52,0.0004986149379871075,6.501078010012071e-05,134,82
V146,0.00044339205,276,8.775888628550498e-05,1.0667377239150914e-05,195,81
V192,0.0010027244,177,0.0009299366127285879,9.089931361943264e-05,96,81
V281,0.003627899,31,0.0007232332949897336,0.0001643802533727102,112,81
V235,0.00031247616,296,2.867642084265487e-05,1.3410535316914418e-05,215,81
V201,0.00021536862,302,-7.92702446195781e-05,5.2799817292961946e-05,383,81
V288,0.00032101152,295,-5.278974411070392e-05,6.120938697065039e-05,376,81
V261,0.0006199484,256,0.00017759194823931956,6.863445424180772e-05,176,80
V36,0.0009135284,193,0.000721004981801221,0.00026726725628286804,113,80
device_hist_txn_count,0.0013452639,111,0.005453781138587743,0.0003879573721105339,31,80
V259,0.0005541601,263,0.0001334840307690377,4.731302867416163e-05,184,79
V145,0.00062273466,254,0.00018169688111887571,1.8661930178744616e-05,175,79
seconds_since_card1_prev_txn,0.00088469865,201,0.0006482624838705763,0.0005809463269606919,124,77
D9,0.000566325,262,0.0001270119398687042,9.34748241789304e-05,185,77
V331,0.00038547697,286,4.7927094877675544e-05,1.0169256952952148e-05,210,76
V232,0.0002818211,297,-4.2587124776860553e-05,1.1919853203617638e-05,373,76
velocity_30min,8.7215725e-05,308,3.131428275893189e-06,1.3215638579633252e-07,233,75
V323,0.0012093255,133,5.5031070586819554e-05,1.6309045244507186e-05,207,74
V75,0.0010707319,162,1.9179851703299277e-06,4.059888189362925e-05,235,73
V324,0.0,312,0.0,0.0,240,72
V327,0.0,312,0.0,0.0,240,72
V305,0.0,312,0.0,0.0,240,72
V297,0.0,312,0.0,0.0,240,72
V326,0.0,312,0.0,0.0,240,72
V252,0.0,312,0.0,0.0,240,72
V253,0.0,312,0.0,0.0,240,72
M1,0.0,312,0.0,0.0,240,72
V269,0.0,312,0.0,0.0,240,72
V182,0.0,312,0.0,0.0,240,72
V174,0.0,312,0.0,0.0,240,72
V95,0.0,312,0.0,0.0,240,72
V325,0.0,312,0.0,0.0,240,72
V72,0.0,312,0.0,0.0,240,72
V117,0.0,312,0.0,0.0,240,72
V84,0.0,312,0.0,0.0,240,72
V322,0.0,312,0.0,0.0,240,72
V111,0.0,312,0.0,0.0,240,72
V113,0.0,312,0.0,0.0,240,72
V176,0.0,312,0.0,0.0,240,72
V172,0.0,312,0.0,0.0,240,72
V107,0.0,312,0.0,0.0,240,72
V41,0.0,312,0.0,0.0,240,72
V65,0.0,312,0.0,0.0,240,72
V40,0.0,312,0.0,0.0,240,72
V118,0.0,312,0.0,0.0,240,72
V119,0.0,312,0.0,0.0,240,72
V116,0.0,312,0.0,0.0,240,72
V74,0.00011614179,306,-6.083159503016411e-05,4.332660397258988e-05,378,72
v_block5_missing,0.0,312,0.0,0.0,240,72
v_block4_missing,0.0,312,0.0,0.0,240,72
v_block3_missing,0.0,312,0.0,0.0,240,72
v_block6_missing,0.0,312,0.0,0.0,240,72
V50,0.0,312,0.0,0.0,240,72
card1_te_txn_count,0.0,312,0.0,0.0,240,72
V284,0.0,312,0.0,0.0,240,72
V304,0.0,312,0.0,0.0,240,72
V292,0.0,312,0.0,0.0,240,72
V286,0.0,312,0.0,0.0,240,72
M7,0.0,312,0.0,0.0,240,72
V3,0.0,312,0.0,0.0,240,72
v_block9_missing,0.0,312,0.0,0.0,240,72
V223,0.0,312,0.0,0.0,240,72
V21,0.0,312,0.0,0.0,240,72
V22,0.0,312,0.0,0.0,240,72
V333,0.0,312,0.0,0.0,240,72
velocity_5min,0.0,312,0.0,0.0,240,72
V132,0.0,312,0.0,0.0,240,72
V184,0.0,312,0.0,0.0,240,72
V188,0.0,312,0.0,0.0,240,72
V190,0.0,312,0.0,0.0,240,72
V329,0.0,312,0.0,0.0,240,72
V120,0.0,312,0.0,0.0,240,72
v_block2_missing,0.0,312,0.0,0.0,240,72
v_block1_missing,0.0,312,0.0,0.0,240,72
V110,0.0,312,0.0,0.0,240,72
V71,0.0,312,0.0,0.0,240,72
V108,0.0,312,0.0,0.0,240,72
V125,0.0,312,0.0,0.0,240,72
V114,0.0,312,0.0,0.0,240,72
V328,0.0,312,0.0,0.0,240,72
V122,0.0,312,0.0,0.0,240,72
V135,0.0,312,0.0,0.0,240,72
V214,0.0,312,0.0,0.0,240,72
V28,0.0,312,0.0,0.0,240,72
V211,0.0,312,0.0,0.0,240,72
V183,0.0,312,0.0,0.0,240,72
V179,0.0,312,0.0,0.0,240,72
V14,0.0,312,0.0,0.0,240,72
V15,0.0,312,0.0,0.0,240,72
V17,0.0,312,0.0,0.0,240,72
V154,0.0,312,0.0,0.0,240,72
V153,0.0,312,0.0,0.0,240,72
V68,0.0,312,0.0,0.0,240,72
V157,0.0,312,0.0,0.0,240,72
V103,0.0,312,0.0,0.0,240,72
V106,0.0,312,0.0,0.0,240,72
V244,0.0,312,0.0,0.0,240,72
V240,0.0,312,0.0,0.0,240,72
V225,0.0,312,0.0,0.0,240,72
V228,0.0,312,0.0,0.0,240,72
